movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,2707731
霸王别姬,2,9.6,2007217
阿甘正传,3,9.5,2032222
泰坦尼克号,4,9.4,1991830
这个杀手不太冷,5,9.4,2174591
美丽人生,6,9.6,1247686
千与千寻,7,9.4,2108523
辛德勒的名单,8,9.6,1041096
盗梦空间,9,9.4,1943908
星际穿越,10,9.4,1656000
忠犬八公的故事,11,9.4,1326009
楚门的世界,12,9.3,1568201
海上钢琴师,13,9.3,1583515
三傻大闹宝莱坞,14,9.2,1760014
机器人总动员,15,9.3,1244383
放牛班的春天,16,9.3,1227229
无间道,17,9.3,1262964
疯狂动物城,18,9.2,1790437
大话西游之大圣娶亲,19,9.2,1444842
熔炉,20,9.3,879453
控方证人,21,9.6,493557
教父,22,9.3,901394
当幸福来敲门,23,9.2,1434611
触不可及,24,9.3,1021876
怦然心动,25,9.1,1724328
movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,2707731
霸王别姬,2,9.6,2007217
阿甘正传,3,9.5,2032222
泰坦尼克号,4,9.4,1991830
这个杀手不太冷,5,9.4,2174591
美丽人生,6,9.6,1247686
千与千寻,7,9.4,2108523
辛德勒的名单,8,9.6,1041096
盗梦空间,9,9.4,1943908
星际穿越,10,9.4,1656000
忠犬八公的故事,11,9.4,1326009
楚门的世界,12,9.3,1568201
海上钢琴师,13,9.3,1583515
三傻大闹宝莱坞,14,9.2,1760014
机器人总动员,15,9.3,1244383
放牛班的春天,16,9.3,1227230
无间道,17,9.3,1262964
疯狂动物城,18,9.2,1790437
大话西游之大圣娶亲,19,9.2,1444842
熔炉,20,9.3,879453
控方证人,21,9.6,493557
教父,22,9.3,901394
当幸福来敲门,23,9.2,1434611
触不可及,24,9.3,1021876
怦然心动,25,9.1,1724328
龙猫,26,9.2,1191433
末代皇帝,27,9.3,811802
寻梦环游记,28,9.1,1547940
蝙蝠侠：黑暗骑士,29,9.2,994517
活着,30,9.3,782127
哈利·波特与魔法石,31,9.2,1093052
指环王3：王者无敌,32,9.3,753499
乱世佳人,33,9.3,648520
素媛,34,9.3,641333
飞屋环游记,35,9.1,1246780
我不是药神,36,9.0,1975706
摔跤吧！爸爸,37,9.0,1481224
何以为家,38,9.1,977394
十二怒汉,39,9.4,452141
哈尔的移动城堡,40,9.1,950043
少年派的奇幻漂流,41,9.1,1278835
鬼子来了,42,9.3,585503
猫鼠游戏,43,9.1,933163
大话西游之月光宝盒,44,9.0,1151274
让子弹飞,45,9.0,1586712
天空之城,46,9.1,772606
钢琴家,47,9.3,578398
指环王2：双塔奇兵,48,9.2,704401
闻香识女人,49,9.1,822322
海蒂和爷爷,50,9.3,531511
天堂电影院,51,9.2,645895
罗马假日,52,9.1,900377
指环王1：护戒使者,53,9.1,794928
黑客帝国,54,9.1,789480
大闹天宫,55,9.4,402452
死亡诗社,56,9.1,666850
教父2,57,9.3,511969
绿皮书,58,8.9,1526676
狮子王,59,9.1,784101
辩护人,60,9.2,557828
搏击俱乐部,61,9.0,798263
饮食男女,62,9.2,575842
美丽心灵,63,9.1,723117
本杰明·巴顿奇事,64,9.0,926749
穿条纹睡衣的男孩,65,9.2,519057
窃听风暴,66,9.2,530536
情书,67,8.9,1024999
两杆大烟枪,68,9.1,562851
西西里的美丽传说,69,8.9,918023
看不见的客人,70,8.8,1173698
音乐之声,71,9.1,563626
拯救大兵瑞恩,72,9.1,608688
飞越疯人院,73,9.1,520646
小鞋子,74,9.2,384183
阿凡达,75,8.8,1300861
哈利·波特与死亡圣器(下),76,9.0,769670
沉默的羔羊,77,8.9,826959
致命魔术,78,8.9,806991
禁闭岛,79,8.9,908639
布达佩斯大饭店,80,8.9,862819
海豚湾,81,9.3,343156
蝴蝶效应,82,8.9,879632
美国往事,83,9.2,388245
心灵捕手,84,8.9,665185
低俗小说,85,8.9,781448
春光乍泄,86,9.0,591481
摩登时代,87,9.3,279601
喜剧之王,88,8.8,907288
功夫,89,8.8,1027852
七宗罪,90,8.8,895113
哈利·波特与阿兹卡班的囚徒,91,8.9,661000
超脱,92,9.0,531563
致命ID,93,8.8,765565
杀人回忆,94,8.9,658658
红辣椒,95,9.1,423944
加勒比海盗,96,8.8,808896
被嫌弃的松子的一生,97,8.9,669153
狩猎,98,9.1,361787
7号房的礼物,99,8.9,520545
请以你的名字呼唤我,100,8.9,671994
剪刀手爱德华,101,8.7,989474
断背山,102,8.8,671898
唐伯虎点秋香,103,8.7,1005668
哈利·波特与密室,104,8.8,687310
勇敢的心,105,8.9,536628
一一,106,9.1,355750
入殓师,107,8.9,626121
第六感,108,8.9,522215
爱在黎明破晓前,109,8.8,626223
重庆森林,110,8.8,757346
蝙蝠侠：黑暗骑士崛起,111,8.8,677420
天使爱美丽,112,8.7,922358
幽灵公主,113,8.9,493396
菊次郎的夏天,114,8.9,556860
小森林 夏秋篇,115,9.0,401394
阳光灿烂的日子,116,8.9,579798
超能陆战队,117,8.7,948981
完美的世界,118,9.1,291841
爱在日落黄昏时,119,8.9,515605
无人知晓,120,9.1,295961
消失的爱人,121,8.7,871970
甜蜜蜜,122,8.9,497983
借东西的小人阿莉埃蒂,123,8.9,516364
倩女幽魂,124,8.8,688850
小森林 冬春篇,125,9.0,357657
侧耳倾听,126,8.9,433228
时空恋旅人,127,8.8,612007
幸福终点站,128,8.8,529419
驯龙高手,129,8.8,711746
萤火之森,130,8.9,497951
教父3,131,9.0,345615
寄生虫,132,8.8,1287965
怪兽电力公司,133,8.8,624490
一个叫欧维的男人决定去死,134,8.9,431997
玛丽和马克思,135,8.9,404863
玩具总动员3,136,8.9,480167
未麻的部屋,137,9.1,300652
傲慢与偏见,138,8.7,742253
神偷奶爸,139,8.6,896354
大鱼,140,8.8,538231
告白,141,8.8,640410
釜山行,142,8.6,1122206
被解救的姜戈,143,8.8,570636
哈利·波特与火焰杯,144,8.7,598789
阳光姐妹淘,145,8.8,566748
射雕英雄传之东成西就,146,8.7,596968
